country,important,safe,effective,t_neigh,t_gov,t_scient,t_jour,t_doc,t_ngo,t_theal
Burkina Faso,0.9546275469838303,0.7206637047363285,0.8696059222759777,0.6633324986028428,0.6002789141889553,0.6576031807306812,0.6743078424151876,0.7791290940176964,0.58494759248813,0.6035308196810528
Colombia,0.9895535579329469,0.8353012069583401,0.8317146696210949,0.5868347625634452,0.30955864314008924,0.6518641890558744,0.5020863928925069,0.7146094794555724,0.4287268902066235,0.2874185130712939
India,0.9784176531176827,0.9667929339373365,0.9632523931775445,0.8395354786075059,0.7912956995744188,0.8697169044916645,0.7933117003080479,0.9330223004935689,0.7643030018750326,0.46291366350237056
Mozambique,0.9803317371857057,0.9313971232199899,0.8675731967605043,0.5838556139388618,0.7706169712318797,0.6026039253868072,0.7271927750356777,0.7740290603628885,0.5925430277116824,0.4003717973661561
Nepal,0.9860541824428737,0.932625251645887,0.8862411214979586,0.8728020358514599,0.8345928079300928,0.8842583485122835,0.8791330088465016,0.9412123867655173,0.8281794988855675,0.7804564574332697
Nigeria,0.9635535897640977,0.9192036433175272,0.8162179103408357,0.7293811562177067,0.4638410174343031,0.7402804905943142,0.6737349297571101,0.8255857576832756,0.7052270102968515,0.6229698838135894
Pakistan,0.9529939031574496,0.9161487850350216,0.908188396293183,0.8949047799099602,0.6184995550914357,0.7543794082603477,0.640867312308059,0.8537214039925427,0.5394529009263583,0.6992557841950793
Russia,0.7996564130599216,0.48175354933157133,0.6691648113480763,0.7792861009080255,0.5682397290676258,0.8736572002077633,0.4795504149817561,0.7572633692350363,0.4990638950356882,0.19609131114770356
Rwanda,0.9860623900176427,0.9738265178368914,0.9922843681094856,0.7522544342672332,0.9700199048676548,0.7585350354611096,0.8889838351124162,0.9458764476722433,0.8126703766818296,0.25166996066735536
Sierra Leone,0.9929583639611914,0.9462788935607216,0.9544922434825418,0.6982472391256364,0.6733668533741874,0.6454113688197796,0.6830306949736151,0.7324756807244158,0.6857640716596203,0.45350105827351467
Uganda,0.9762337868728462,0.867503254222196,0.8152710422237754,0.7798046802621503,0.5995873906496021,0.7097018568879957,0.7487482629993417,0.8133413885235605,0.6386078356231205,0.22513611049517993
USA,0.873594277767941,0.728588527851851,0.8510101726370496,0.8285677779977906,0.4921951677498953,0.8953299006329803,0.5883875838317675,0.9401060352700258,0.79802147675948,0.6391634510454484
